Leibniz, Multi-Threaded (sec, thread_count_:1, n:1000)  == 0.000016
Leibniz, Multi-Threaded (sec, thread_count_:2, n:1000)  == 0.000389
Leibniz, Multi-Threaded (sec, thread_count_:3, n:1000)  == 0.000745
Leibniz, Multi-Threaded (sec, thread_count_:4, n:1000)  == 0.000976
Leibniz, Multi-Threaded (sec, thread_count_:5, n:1000)  == 0.001435
Leibniz, Multi-Threaded (sec, thread_count_:6, n:1000)  == 0.001765
Leibniz, Multi-Threaded (sec, thread_count_:7, n:1000)  == 0.002039
Leibniz, Multi-Threaded (sec, thread_count_:8, n:1000)  == 0.002397
Leibniz, Multi-Threaded (sec, thread_count_:9, n:1000)  == 0.002711
Leibniz, Multi-Threaded (sec, thread_count_:10, n:1000)  == 0.003034
Leibniz, Multi-Threaded (sec, thread_count_:11, n:1000)  == 0.003376
Leibniz, Multi-Threaded (sec, thread_count_:12, n:1000)  == 0.003834
Leibniz, Multi-Threaded (sec, thread_count_:13, n:1000)  == 0.004253
Leibniz, Multi-Threaded (sec, thread_count_:14, n:1000)  == 0.004507
Leibniz, Multi-Threaded (sec, thread_count_:15, n:1000)  == 0.004895
Leibniz, Multi-Threaded (sec, thread_count_:16, n:1000)  == 0.005198
Leibniz, Multi-Threaded (sec, thread_count_:17, n:1000)  == 0.005608
Leibniz, Multi-Threaded (sec, thread_count_:18, n:1000)  == 0.005878
Leibniz, Multi-Threaded (sec, thread_count_:19, n:1000)  == 0.006093
Leibniz, Multi-Threaded (sec, thread_count_:20, n:1000)  == 0.006426
Leibniz, Multi-Threaded (sec, thread_count_:21, n:1000)  == 0.006724
Leibniz, Multi-Threaded (sec, thread_count_:22, n:1000)  == 0.006950
Leibniz, Multi-Threaded (sec, thread_count_:23, n:1000)  == 0.007309
Leibniz, Multi-Threaded (sec, thread_count_:24, n:1000)  == 0.007592
Leibniz, Multi-Threaded (sec, thread_count_:25, n:1000)  == 0.008651
Leibniz, Multi-Threaded (sec, thread_count_:26, n:1000)  == 0.018426
Leibniz, Multi-Threaded (sec, thread_count_:27, n:1000)  == 0.031400
Leibniz, Multi-Threaded (sec, thread_count_:28, n:1000)  == 0.057354
Leibniz, Multi-Threaded (sec, thread_count_:1, n:2000)  == 0.000019
Leibniz, Multi-Threaded (sec, thread_count_:2, n:2000)  == 0.000336
Leibniz, Multi-Threaded (sec, thread_count_:3, n:2000)  == 0.000583
Leibniz, Multi-Threaded (sec, thread_count_:4, n:2000)  == 0.000821
Leibniz, Multi-Threaded (sec, thread_count_:5, n:2000)  == 0.001041
Leibniz, Multi-Threaded (sec, thread_count_:6, n:2000)  == 0.001276
Leibniz, Multi-Threaded (sec, thread_count_:7, n:2000)  == 0.001488
Leibniz, Multi-Threaded (sec, thread_count_:8, n:2000)  == 0.001689
Leibniz, Multi-Threaded (sec, thread_count_:9, n:2000)  == 0.001884
